Designator,Mid X,Mid Y,Rotation,Layer
Q4,125.5,-140.0,180.0,top
Q5,100.0,-87.0,0.0,top
Q6,100.0,-98.0,0.0,top
Q7,100.0,-109.0,0.0,top
Q8,100.0,-120.0,0.0,top
Q9,128.75,-188.0,180.0,top
R1,125.25,-45.51975,270.0,top
R10,136.5,-65.5,0.0,top
R11,136.5,-64.0,180.0,top
R12,136.5,-74.0,0.0,top
R13,136.5,-72.5,180.0,top
R14,136.5,-82.5,0.0,top
R15,136.5,-81.0,180.0,top
R16,136.5,-91.0,0.0,top
R17,136.5,-89.5,180.0,top
R18,115.0,-101.5,180.0,top
R19,115.0,-114.5,180.0,top
R2,128.0,-44.76975,0.0,top
R20,115.0,-103.0,0.0,top
R21,119.0,-102.5,90.0,top
R22,115.0,-113.0,0.0,top
R23,119.0,-114.5,270.0,top
R24,121.0,-114.5,90.0,top
R25,121.0875,-102.5,270.0,top
R26,115.0,-125.5,180.0,top
R27,115.0,-138.5,180.0,top
R28,115.0,-127.0,0.0,top
R29,118.9125,-126.5,90.0,top
R3,135.7475,-35.5,270.0,top
R30,115.0,-137.0,0.0,top
R31,119.0,-138.5,270.0,top
R32,121.0,-138.5,90.0,top
R33,121.0,-126.5,270.0,top
R34,105.5,-86.5,180.0,top
R35,105.5,-88.0,180.0,top
R36,100.25,-82.75,180.0,top
R37,100.25,-81.25,180.0,top
R38,105.5,-97.5,180.0,top
R39,105.5,-99.0,180.0,top
R4,135.7475,-31.0,90.0,top
R40,100.25,-93.75,180.0,top
R41,100.25,-92.25,180.0,top
R42,105.5,-108.5,180.0,top
R43,105.5,-110.0,180.0,top
R44,100.25,-104.75,180.0,top
R45,100.25,-103.25,180.0,top
R46,105.5,-119.5,180.0,top
R47,105.5,-121.0,180.0,top
R48,100.25,-115.75,180.0,top
R49,100.25,-114.25,180.0,top
R5,87.415176,-70.0,90.0,top
R50,117.0,-185.25,180.0,top
R51,121.0,-183.75,0.0,top
R52,128.75,-192.0,0.0,top
R53,131.75,-153.25,180.0,top
R54,128.75,-185.5,0.0,top
R55,131.75,-151.75,0.0,top
R56,70.725,-152.0,90.0,top
R57,70.725,-130.5,90.0,top
R58,70.725,-109.0,90.0,top
R59,70.725,-87.5,90.0,top
R6,106.0,-138.5,180.0,top
R60,70.725,-66.0,90.0,top
R61,61.475,-147.0,90.0,top
R62,61.475,-125.5,90.0,top
R63,61.475,-104.0,90.0,top
R64,61.475,-82.5,90.0,top
R65,61.475,-61.0,90.0,top
R66,61.475,-163.5,270.0,top
R67,61.475,-142.0,270.0,top
R68,61.475,-120.5,270.0,top
R69,61.475,-99.0,270.0,top
R7,105.6,-154.9925,180.0,top
R70,61.475,-77.5,270.0,top
R71,109.5,-28.75,270.0,top
R72,108.0,-28.75,270.0,top
R73,83.5,-37.5,315.0,top
R8,92.75,-157.9925,180.0,top
R9,91.1,-156.4925,180.0,top
S1,124.376,-55.401,180.0,top
SW1,97.4675,-180.075,0.0,top
SW2,118.225,-189.713207,0.0,top
SW3,108.525,-23.3625,180.0,top
U1,128.5,-50.5,180.0,top
U10,62.5,-90.75,270.0,top
U11,62.5,-69.25,270.0,top
U12,94.499,-45.0,270.0,top
U2,92.0,-73.0,90.0,top
U3,117.0,-108.0,270.0,top
U4,117.0,-132.0,270.0,top
U5,100.2,-74.1125,180.0,top
U6,126.0,-163.0,90.0,top
U7,62.5,-155.25,270.0,top
U8,62.5,-133.75,270.0,top
U9,62.5,-112.25,270.0,top
Y1,77.25,-44.75,90.0,top
