Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"J3, J4",IDC-Header_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,
"R1, R2",0603,2,10k,
