Designator,Mid X,Mid Y,Rotation,Layer
J1,112.0,-51.005,90.0,bottom
J2,112.0,-80.005,90.0,bottom
J3,112.0,-58.27,270.0,top
J4,112.0,-72.73,270.0,top
R1,104.0,-65.0,0.0,top
R2,104.0,-66.5,0.0,top
