SCORPION MAX V1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：11/01/26 03:50:32,,,,BOM Export Date: 12/01/26 06:11:32,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$156.41
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(EUR),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(EUR),Ext.Price(EUR),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,,,,17,10,,,DSK24L,LGE,10,0.0500,0.50,C19272974,SOD-123FL,10,10,3000,70,In Stock,,Diode Independent 40V 2A Surface Mount SOD-123FL,Exact Matches,https://www.lcsc.com/product-detail/C19272974.html
,,,,,,45,20,,,"BC817-40,215",Nexperia,20,0.0306,0.61,C52801,SOT-23,20,20,3000,0,Backordered,,Bipolar (BJT) Transistor NPN 45V 500mA 100MHz 345mW Surface Mount SOT-23,Exact Matches,https://www.lcsc.com/product-detail/C52801.html
,,,,,,46,20,,,"BC807-40,215",Nexperia,20,0.0280,0.56,C57316,SOT-23,20,20,3000,145000,In Stock,,Bipolar (BJT) Transistor PNP 45V 500mA 80MHz 250mW Surface Mount SOT-23,Exact Matches,https://www.lcsc.com/product-detail/C57316.html
,,,,,,26,2,,,LM76005QRNPRQ1,TI,2,4.7957,9.59,C2873394,WQFN-30(4x6),1,1,3000,76,In Stock,,Buck Switching Regulator IC Adjustable 1V~57V 1 Output 5A WQFN-30(4x6),Exact Matches,https://www.lcsc.com/product-detail/C2873394.html
,,,,,,29,20,,,B2B-XH-A(LF)(SN),JST,20,0.0308,0.62,C158012,"Through Hole,P=2.5mm",20,20,1000,292080,In Stock,,Connector Header 2 position 2.5mm Pitch 3A Through Hole -25℃~+85℃,Exact Matches,https://www.lcsc.com/product-detail/C158012.html
,,,,,,39,20,,,PZ2.54-1X6P-H25,JXTCONN,20,0.0099,0.20,C42431790,"Through Hole,P=2.54mm",20,20,2000,5320,In Stock,,Pin Header 6 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431790.html
,,,,,,40,10,,,PM2.54-1X3P-H85,JXTCONN,10,0.0262,0.26,C42431866,"Through Hole,P=2.54mm",5,5,500,8210,In Stock,,"3A 3P Through Hole -40℃~+105℃ 8.5mm Gold 1x3P 2.54mm Top 1 Square Hole Through Hole,P=2.54mm Headers, Receptacles, Female Sockets RoHS",Exact Matches,https://www.lcsc.com/product-detail/C42431866.html
,,,,,,31,10,,,PM2.54-2X8PM-H85,JXTCONN,10,0.0577,0.58,C42431844,"Through Hole,P=2.54mm",5,5,200,1395,In Stock,,Female Header 16 Position 2.54mm Pitch Dual Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431844.html
,,,,,,32,10,,,PM2.54-1X4PM-H85,JXTCONN,10,0.0553,0.55,C42431839,"Through Hole,P=2.54mm",5,5,500,2015,In Stock,,Female Header 4 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431839.html
,,,,,,41,10,,,PM2.54-1X2PM-H85,JXTCONN,10,0.0544,0.54,C42431841,"Through Hole,P=2.54mm",5,5,1000,8450,In Stock,,Female Header 2 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431841.html
